 (Half Day), (نیم روز)
Setup,راه اندازی
Setup Control,راه اندازی کنترل
Setup Series,راه اندازی سری
Setup of Shopping Cart.,راه اندازی از سبد خرید.
Setup to pull emails from support email account,راه اندازی ایمیل از حساب ایمیل پشتیبانی از کشیدن
Share,سهم
Share With,اشتراک گذاری با
Shipments to customers.,محموله به مشتریان.
Shipping,حمل و نقل
Shipping Account,حساب حمل و نقل
Shipping Address,آدرس حمل و نقل
Shipping Address Name,نام آدرس حمل و نقل
Shipping Amount,میزان حمل و نقل
Shipping Rule,قانون حمل و نقل
Shipping Rule Condition,شرط قانون حمل و نقل
Shipping Rule Conditions,شرایط حمل و نقل
Shipping Rule Label,برچسب قانون حمل و نقل
Shipping Rules,قوانین حمل و نقل
Shop,فروشگاه
Shopping Cart,سبد خرید
Shopping Cart Price List,لیست قیمت سبد خرید
Shopping Cart Price Lists,لیست قیمت سبد خرید
Shopping Cart Settings,تنظیمات سبد خرید
Shopping Cart Shipping Rule,سبد خرید قانون حمل و نقل
Shopping Cart Shipping Rules,سبد خرید قوانین حمل و نقل
Shopping Cart Taxes and Charges Master,خرید سبد خرید مالیات و هزینه های کارشناسی ارشد
Shopping Cart Taxes and Charges Masters,خرید سبد خرید مالیات و هزینه های کارشناسی ارشد
Short Bio,بیوگرافی کوتاه
Short Name,نام کوتاه
Short biography for website and other publications.,بیوگرافی کوتاه برای وب سایت ها و نشریات دیگر.
Shortcut,میانبر
"Show ""In Stock"" or ""Not in Stock"" based on stock available in this warehouse.",\""در بورس\"" یا \""نه در بورس\"" مبتنی بر سهام های موجود در این انبار را نشان می دهد.
Show Details,نمایش جزئیات
Show In Website,در وب سایت نشان می دهد
Show Print First,چاپ اول نشان می دهد
Show a slideshow at the top of the page,نمایش به صورت اسلاید در بالای صفحه نمایش
Show in Website,در وب سایت نشان می دهد
Show rows with zero values,نشان دادن ردیف با مقادیر صفر
Show this slideshow at the top of the page,این نمایش به صورت اسلاید در بالای صفحه نمایش
Showing only for,فقط برای نمایش
Signature,امضا
Signature to be appended at the end of every email,امضا را در انتهای هر ایمیل اضافه شد
Single,تک
Single unit of an Item.,واحد مورد.
Sitemap Domain,نقشه سایت دامنه
Slideshow,نمایش به صورت اسلاید
Slideshow Items,آیتم های نمایش اسلاید
Slideshow Name,نام نمایش اسلاید
Slideshow like display for the website,نمایش اسلاید مانند صفحه نمایش برای وب سایت
Small Text,متن کوچک
Solid background color (default light gray),رنگ پس زمينه یکدست (پیش فرض نور خاکستری)
Sorry we were unable to find what you were looking for.,با عرض پوزش ما بودند قادر به پیدا کردن آنچه شما دنبال آن بودند.
Sorry you are not permitted to view this page.,ببخشید شما برای دیدن این صفحه مجاز نیست.
Sorry! We can only allow upto 100 rows for Stock Reconciliation.,متاسفم! ما تنها می تواند تا حد 100 ردیف برای آشتی سهام را اجازه.
"Sorry! You cannot change company's default currency, because there are existing transactions against it. You will need to cancel those transactions if you want to change the default currency.",متاسفم! از آنجا که معاملات موجود در برابر آن وجود دارد نمی ارز پیش فرض شرکت، را تغییر دهید. شما نیاز به لغو آن معاملات اگر می خواهید به تغییر واحد پول پیش فرض.
Sorry. Companies cannot be merged,متاسفم. شرکت نمی توانند با هم ادغام شدند
Sorry. Serial Nos. cannot be merged,متاسفم. (Nos) سریال. نمی توانند با هم ادغام شدند
Sort By,مرتب سازی بر اساس
Source,منبع
Source Warehouse,منبع انبار
Source and Target Warehouse cannot be same,منبع و مقصد انبار می تواند همان
Source of th,منبع هفتم
"Source of the lead. If via a campaign, select ""Campaign""",منبع منجر شود. اگر از طریق یک کمپین \""کمپین\"" را انتخاب کنید
Spartan,تجمل
Specification Details,جزئیات مشخصات
Specify Exchange Rate to convert one currency into another,تعیین نرخ ارز برای تبدیل یک ارز به دیگری
"Specify a list of Territories, for which, this Price List is valid",مشخص کردن یک لیست از مناطق که، این لیست قیمت معتبر است
"Specify a list of Territories, for which, this Shipping Rule is valid",مشخص کردن یک لیست از مناطق که، این قانون حمل و نقل معتبر است
"Specify a list of Territories, for which, this Taxes Master is valid",مشخص کردن یک لیست از مناطق که، این استاد مالیات معتبر است
Specify conditions to calculate shipping amount,تعیین شرایط برای محاسبه مقدار حمل و نقل
Split Delivery Note into packages.,تقسیم تحویل توجه به بسته های.
Standard,استاندارد
Standard Rate,نرخ استاندارد
"Standard Terms and Conditions that can be added to Sales and Purchases.Examples:1. Validity of the offer.1. Payment Terms (In Advance, On Credit, part advance etc).1. What is extra (or payable by the Customer).1. Safety / usage warning.1. Warranty if any.1. Returns Policy.1. Terms of shipping, if applicable.1. Ways of addressing disputes, indemnity, liability, etc.1. Address and Contact of your Company.",شرایط استاندارد و شرایط است که می توان به فروش و Purchases.Examples:1 اضافه شده است. اعتبار offer.1. شرایط پرداخت (در پیشبرد بخش پیشرفته و در اعتبار، و غیره). 1. چه فوق العاده (یا قابل پرداخت توسط مشتری). 1. ایمنی \/ استفاده warning.1. اگر گارانتی any.1. Policy.1 باز می گرداند. شرایط نقل اگر applicable.1. راه از پرداختن به اختلافات، جبران خسارت، مسئولیت، etc.1. آدرس و تماس با شرکت خود را.
"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.#### NoteThe tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.#### Description of Columns1. Calculation Type:     - This can be on **Net Total** (that is the sum of basic amount).    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.    - **Actual** (as mentioned).2. Account Head: The Account ledger under which this tax will be booked3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.4. Description: Description of the tax (that will be printed in invoices / quotes).5. Rate: Tax rate.6. Amount: Tax amount.7. Total: Cumulative total to this point.8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.10. Add or Deduct: Whether you want to add or deduct the tax.",قالب استاندارد مالیات است که می توان به تمام معاملات خرید استفاده می شود. این الگو می تواند شامل فهرست سر مالیاتی و همچنین سایر هزینه های سر مانند \""حمل و نقل\""، \""بیمه\""، \""دست زدن به NoteThe مالیات و غیره ###\"" شما سرعت تعریف اینجا خواهد شد نرخ استاندارد مالیات برای همه ** موارد **. اگر وجود دارد ** موارد ** که نرخ های مختلف، آنها باید اضافه در ** مورد مالیات ** جدول در ** مورد ** استاد. ### شرح Columns1. نوع محاسبه: - این می تواند در ** خالص مجموع ** (که در مجموع مقدار اولیه).    -** در ردیف قبلی تعداد \/ مقدار ** (برای مالیات تجمعی و یا اتهامات عنوان شده علیه). در صورت انتخاب این گزینه، مالیات به عنوان یک درصد از مقدار قبلی ردیف (در جدول مالیاتی) و یا مجموع اعمال می شود.    -** واقعی ** (همانطور که ذکر شد). 2. سر حساب: حساب معین که تحت این مالیات خواهد بود booked3. مرکز هزینه: اگر مالیات \/ هزینه درآمد (مانند حمل و نقل) و یا هزینه های آن باید برابر Center.4 هزینه رزرو می شود. توضیحات: توضیحات از مالیات (که می شود چاپ در فاکتور \/ نقل قول). 5. سرعت: rate.6 مالیات. مقدار: amount.7 مالیات. مجموع: کل تجمعی به این point.8. ردیف را وارد کنید: اگر مبتنی بر \""قبلی مجموع ردیف\"" شما شماره ردیف است که خواهد شد گرفته شده به عنوان پایه ای برای محاسبه این انتخاب کنید (فرض است ردیف قبلی). 9. در نظر گرفتن مالیات یا هزینه: در این بخش شما میتوانید تعیین کنید اگر مالیات \/ اتهام است تنها برای ارزیابی (و نه بخشی از کل) و یا تنها برای کل (نه اضافه ارزش به مورد) و یا both.10. اضافه یا کسر: آیا شما می خواهید برای اضافه کردن یا کسر مالیات.
"Standard tax template that can be applied to all Sales Transactions. This template can contain list of tax heads and also other expense / income heads like ""Shipping"", ""Insurance"", ""Handling"" etc.#### NoteThe tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.#### Description of Columns1. Calculation Type:     - This can be on **Net Total** (that is the sum of basic amount).    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.    - **Actual** (as mentioned).2. Account Head: The Account ledger under which this tax will be booked3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.4. Description: Description of the tax (that will be printed in invoices / quotes).5. Rate: Tax rate.6. Amount: Tax amount.7. Total: Cumulative total to this point.8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).9. Is this Tax included in Basic Rate?: If you check this, it means that this tax will not be shown below the item table, but will be included in the Basic Rate in your main item table. This is useful where you want give a flat price (inclusive of all taxes) price to customers.",قالب استاندارد مالیات است که می توان به تمام معاملات فروش استفاده می شود. این الگو می تواند شامل فهرست سر مالیات و دیگر هزینه \/ درآمد سر مانند \""حمل و نقل\""، \""بیمه\""، \""دست زدن به NoteThe مالیات و غیره ###\"" شما سرعت تعریف اینجا خواهد نرخ استاندارد مالیات برای همه ** موارد **. اگر وجود دارد ** موارد ** که نرخ های مختلف، آنها باید اضافه در ** مورد مالیات ** جدول در ** مورد ** استاد. ### شرح Columns1. نوع محاسبه: - این می تواند در ** خالص مجموع ** (که در مجموع مقدار اولیه).    -** در ردیف قبلی تعداد \/ مقدار ** (برای مالیات تجمعی و یا اتهامات عنوان شده علیه). در صورت انتخاب این گزینه، مالیات به عنوان یک درصد از مقدار قبلی ردیف (در جدول مالیاتی) و یا مجموع اعمال می شود.    -** واقعی ** (همانطور که ذکر شد). 2. سر حساب: حساب معین که تحت این مالیات خواهد بود booked3. مرکز هزینه: اگر مالیات \/ هزینه درآمد (مانند حمل و نقل) و یا هزینه های آن باید برابر Center.4 هزینه رزرو می شود. توضیحات: توضیحات از مالیات (که می شود چاپ در فاکتور \/ نقل قول). 5. سرعت: rate.6 مالیات. مقدار: amount.7 مالیات. مجموع: کل تجمعی به این point.8. ردیف را وارد کنید: اگر مبتنی بر \""قبلی مجموع ردیف\"" شما شماره ردیف است که خواهد شد گرفته شده به عنوان پایه ای برای محاسبه این انتخاب کنید (فرض است ردیف قبلی). 9. این مالیات در نرخ پایه شامل است?: اگر این بررسی به این معنی است که این مالیات نمی خواهد زیر میز مورد نشان داده شده، اما در نرخ پایه در جدول اصلی مورد خود را شامل خواهد شد. این که می خواهید قیمت تخت (شامل تمام مالیات) قیمت به مشتریان مفید است.
Start Date,تاریخ شروع
Start Report For,شروع گزارش
Start date of current invoice's period,تاریخ شروع دوره فعلی فاکتور
Starts on,در شروع می شود
Startup,راه اندازی
State,دولت
States,ایالات
Static Parameters,پارامترهای ایستا
Status,وضعیت
Status must be one of ,وضعیت باید یکی از
Status should be Submitted,وضعیت باید مشاهده کنید
Statutory info and other general information about your Supplier,اطلاعات قانونی و دیگر اطلاعات کلی در مورد تامین کنندگان خود را
Stock,سهام
Stock Adjustment Account,حساب تعدیل سهام
Stock Ageing,سهام پیری
Stock Analytics,تجزیه و تحلیل سهام
Stock Balance,تعادل سهام
Stock Entries already created for Production Order ,بانک ها در حال حاضر ایجاد شده برای سفارش تولید
Stock Entry,ورود سهام
Stock Entry Detail,جزئیات ورود سهام
Stock Frozen Upto,انبار یخ زده تا حد
Stock Ledger,سهام لجر
Stock Ledger Entry,ورود سهام لجر
Stock Level,سطح سهام
Stock Qty,تعداد سهام
Stock Queue (FIFO),صف سهام (FIFO)
Stock Received But Not Billed,سهام دریافت کرده اما هنوز صورتحساب
Stock Reconciliation,سهام آشتی
Stock Reconciliation file not uploaded,سهام آشتی فایل آپلود نیست
Stock Settings,تنظیمات سهام
Stock UOM,سهام UOM
Stock UOM Replace Utility,UOM سهام جایگزین ابزار
Stock Uom,سهام Uom
Stock Value,ارزش سهام
Stock Value Difference,تفاوت ارزش سهام
Stock transactions exist against warehouse ,وجود دارد معاملات سهام برابر انبار
Stop,بایست
Stop users from making Leave Applications on following days.,کاربران از ساخت برنامه های کاربردی ترک در روزهای بعد را متوقف می کند.
Stopped,متوقف شد
Structure cost centers for budgeting.,ساختار مراکز بودجه هزینه.
Structure of books of accounts.,ساختار کتاب به حساب.
Style,سبک
Style Settings,سبک تنظیمات
"Style represents the button color: Success - Green, Danger - Red, Inverse - Black, Primary - Dark Blue, Info - Light Blue, Warning - Orange",نشان دهنده سبک رنگ دکمه: موفقیت - هشدار دهنده خطر - قرمز معکوس - سیاه و سفید، اولیه - سرمه، اطلاعات - نور آبی، سبز - نارنجی
"Sub-currency. For e.g. ""Cent""",ارز زیر. برای مثال \""درصد\""
Sub-domain provided by owrang.yellowen.com,زیر دامنه ارائه شده توسط owrang.yellowen.com
Subcontract,قرارداد فرعی
Subdomain,زیر دامنه
Subject,موضوع
Submit,ارسال
Submit Salary Slip,ثبت حقوق و دستمزد لغزش
Submit all salary slips for the above selected criteria,همه ورقه های حقوق و دستمزد برای شرایط فوق انتخاب شده را ارسال کنید
Submitted,ارسال شده
Submitted Record cannot be deleted,رکورد ارسال شده حذف نمی شوند
Subsidiary,شرکت های فرعی
Success,موفقیت
Successful: ,موفق:
Suggestion,پیشنهاد
Suggestions,پیشنهادات و انتقادات
Sunday,یکشنبه
Supplier,تامین کننده
Supplier (Payable) Account,حساب فروشنده (قابل پرداخت)
Supplier (vendor) name as entered in supplier master,نام تامین کننده (فروشنده) به عنوان وارد کننده اصلی
Supplier Account Head,تامین کننده حساب سر
Supplier Address,آدرس تولید کننده
Supplier Details,تامین کننده قطعات
Supplier Intro,معرفی تامین کننده
Supplier Invoice Date,تامین کننده تاریخ فاکتور
Supplier Invoice No,تامین کننده بدون فاکتور
Supplier Name,نام تامین کننده
Supplier Naming By,تامین کننده نامگذاری توسط
Supplier Part Number,تولید کننده شماره قسمت
Supplier Quotation,تامین کننده نقل قول
Supplier Quotation Item,تامین کننده نقل قول مورد
Supplier Reference,مرجع تامین کننده
Supplier Shipment Date,تاریخ حمل و نقل تامین
Supplier Shipment No,تامین کننده بدون حمل و نقل
Supplier Type,نوع تامین کننده
Supplier Warehouse,تامین کنندگان انبار
Supplier Warehouse mandatory subcontracted purchase receipt,فروشنده قبض انبار خرید اجباری subcontracted
Supplier classification.,تامین کننده طبقه بندی.
Supplier database.,تامین کننده پایگاه داده.
Supplier of Goods or Services.,تامین کننده کالا یا خدمات
Supplier warehouse where you have issued raw materials for sub - contracting,که در آن شما باید مواد اولیه برای زیر - صادر کننده و انبار پیمانکاری
Supplier's currency,تامین ارز
Support,پشتیبانی
Support Analytics,حمایت از تجزیه و تحلیل
Support Email,ایمیل پشتیبانی
Support Email Id,پشتیبانی ایمیل
Support Password,پشتیبانی از رمز عبور
Support Ticket,بلیط پشتیبانی
Support queries from customers.,پشتیبانی از نمایش داده شد از مشتریان.
Symbol,نماد
Sync Inbox,صندوق پستی همگام سازی
Sync Support Mails,همگام سازی پشتیبانی الکترونیکی
Sync with Dropbox,همگام سازی با Dropbox
Sync with Google Drive,همگام سازی با درایو گوگل
System,سیستم
System Defaults,پیش فرض سیستم
System Settings,تنظیمات سیستم
System User,سیستم کاربر
"System User (login) ID. If set, it will become default for all HR forms.",سیستم شناسه کاربری (ورود) اگر تنظیم این پیش فرض برای تمام منابع انسانی فرم تبدیل خواهد شد.
System for managing Backups,سیستم برای مدیریت پشتیبان گیری
System generated mails will be sent from this email id.,الکترونیکی سیستم تولید شده از این ایمیل ارسال خواهد شد.
TL-,TL-
TLB-,TLB-
Table,جدول
Table for Item that will be shown in Web Site,جدول برای آیتم است که خواهد شد نشان داده شده در وب سایت
Tag,برچسب
Tag Name,نام برچسب
Tags,برچسب ها
Tahoma,Tahoma
Target,هدف
Target  Amount,مقدار هدف
Target Detail,جزئیات مورد نظر
Target Details,اطلاعات بیشتر در مورد نظر
Target Details1,هدف Details1
Target Distribution,هدف توزیع
Target Qty,تعداد هدف
Target Warehouse,انبار مقصد
Task,وظیفه
Task Details,جزئیات وظیفه
Tax,مالیات
Tax Calculation,محاسبه مالیات
Tax Category can not be 'Valuation' or 'Valuation and Total' 					as all items are non-stock items,همانطور که همه موارد غیر سهام آیتم رده مالیات نمی تواند 'ارزیابی' یا 'ارزیابی و مجموع'
Tax Master,ارشد مالیاتی
Tax Rate,نرخ مالیات
Tax Template for Purchase,قالب های مالیاتی برای خرید
Tax Template for Sales,قالب های مالیاتی برای فروش
Tax and other salary deductions.,مالیات و سایر کسر حقوق و دستمزد.
Tax detail table fetched from item master as a string and stored in this field.Used for Taxes and Charges,جدول جزئیات مالیات از استاد مورد به عنوان یک رشته برداشته و ذخیره شده در این زمینه.استفاده از مالیات و هزینه
Taxable,مشمول مالیات
Taxes,مالیات
Taxes and Charges,مالیات و هزینه
Taxes and Charges Added,مالیات و هزینه های اضافه شده
Taxes and Charges Added (Company Currency),مالیات و هزینه های ارسال (شرکت واحد)
Taxes and Charges Calculation,مالیات و محاسبه هزینه
Taxes and Charges Deducted,مالیات و هزینه کسر
Taxes and Charges Deducted (Company Currency),مالیات و هزینه کسر (شرکت واحد)
Taxes and Charges Total,مالیات و هزینه کل
Taxes and Charges Total (Company Currency),مالیات و هزینه کل (شرکت واحد)
Team Members,اعضای تیم
Team Members Heading,اعضای تیم سرفصل
Template for employee performance appraisals.,قالب برای ارزیابی عملکرد کارکنان است.
Template of terms or contract.,قالب از شرایط را یا قرارداد.
Term Details,اطلاعات بیشتر در مدت
Terms and Conditions,شرایط و ضوابط
Terms and Conditions Content,ضوابط و شرایط محتوا
Terms and Conditions Details,شرایط و جزئیات شرایط
Terms and Conditions Template,ضوابط و شرایط الگو
Terms and Conditions1,شرایط و Conditions1
Territory,خاک
Territory Manager,قلمرو مدیریت
Territory Name,نام سرزمین
Territory Target Variance (Item Group-Wise),قلمرو هدف واريانس (Group-Wise مورد)
Territory Targets,قلمرو اهداف
Test,تست
Test Email Id,تست ایمیل
Test Runner,آزمون دوم
Test the Newsletter,تست خبرنامه
Text,متن
Text Align,تراز کردن متن
Text Editor,ویرایشگر متن
"The ""Web Page"" that is the website home page",\""صفحه وب\"" است که صفحه اصلی وب سایت
The BOM which will be replaced,خوب است که جایگزین خواهد شد
"The Item that represents the Package. This Item must have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes""",موردی که نشان دهنده بسته. این مورد \""مورد سهام به عنوان\""خیر\""است\"" و \""مورد فروش\"" به عنوان \""بله\"" باید
"The account head under Liability, in which Profit/Loss will be booked",سر حساب تحت مسئولیت، که در آن سود و زیان خواهد بود رزرو
The date at which current entry is made in system.,تاریخ که در ورودی فعلی در سیستم ساخته شده است.
The date at which current entry will get or has actually executed.,تاریخ که ورودی فعلی خواهد شد یا در واقع اعدام است.
The date on which next invoice will be generated. It is generated on submit.,تاریخ در آینده که فاکتور تولید خواهد شد. تولید شده است به ارائه.
The date on which recurring invoice will be stop,تاریخ فاکتور تکراری که متوقف خواهد شد
"The day of the month on which auto invoice will be generated e.g. 05, 28 etc ",روز ماه در که خودکار فاکتور می شود مثال 05، تولید و غیره 28
The first Leave Approver in the list will be set as the default Leave Approver,Approver ترک اول در لیست خواهد شد تنظیم بعنوان پیش فرض ترک Approver
The gross weight of the package. Usually net weight + packaging material weight. (for print),وزن ناخالص بسته. وزن خالص معمولا + وزن مواد بسته بندی. (برای چاپ)
The name of your company / website as you want to appear on browser title bar. All pages will have this as the prefix to the title.,نام شرکت شما وب سایت که شما می خواهم در نوار عنوان مرورگر ظاهر می شود. تمام صفحات این را به عنوان پیشوند به عنوان است.
The net weight of this package. (calculated automatically as sum of net weight of items),وزن خالص این بسته. (به صورت خودکار محاسبه به عنوان مجموع وزن خالص از آیتم)
The new BOM after replacement,BOM جدید پس از جایگزینی
The rate at which Bill Currency is converted into company's base currency,نرخ که در آن بیل ارز به ارز پایه شرکت تبدیل شده است
"The system provides pre-defined roles, but you can <a href='#List/Role'>add new roles</a> to set finer permissions",سیستم نقش های از پیش تعریف شده را فراهم می کند اما شما می توانید <a href='#List\/Role'> اضافه کردن نقش های جدید<\/a> برای تنظیم مجوزها ظریف
Then By (optional),سپس توسط (اختیاری)
These properties are Link Type fields from all Documents.,خواص این نوع پیوند زمینه از تمام اسناد هستند.
"These properties can also be used to 'assign' a particular document, whose property matches with the User's property to a User. These can be set using the <a href='#permission-manager'>Permission Manager</a>",این ویژگی نیز می تواند مورد استفاده قرار گیرد برای 'سند خاصی که دارایی منطبق با ویژگی های کاربر به کاربر اختصاص دادن'. این می تواند مجموعه با استفاده از <a href='#permission-manager'> مجوز مدیر<\/a>
These properties will appear as values in forms that contain them.,این ویژگی به عنوان ارزش در فرم است که آنها ظاهر می شود.
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,این ارزش ها در معاملات روز به طور خودکار خواهد شد و همچنین مفید برای محدود کردن مجوز برای این کاربر در معاملات شامل این ارزش ها خواهد بود.
This Price List will be selected as default for all Customers under this Group.,این لیست قیمت به عنوان پیش فرض برای تمام مشتریان در این گروه انتخاب خواهد شد.
This Time Log Batch has been billed.,این زمان ورود دسته صورتحساب شده است.
This Time Log Batch has been cancelled.,این زمان ورود دسته ای لغو شده است.
This Time Log conflicts with,این تضاد زمان ورود به سیستم
This currency will get fetched in Purchase transactions of this supplier,این ارز در معاملات خرید این فروشنده برداشته دریافت خواهد شد
This currency will get fetched in Sales transactions of this customer,این ارز در معاملات فروش از مشتریان این برداشته دریافت خواهد شد
"This feature is for merging duplicate warehouses. It will replace all the links of this warehouse by ""Merge Into"" warehouse. After merging you can delete this warehouse, as stock level for this warehouse will be zero.",این ویژگی برای ادغام انبارها تکراری است. آن تمام لینک های این انبار توسط \""ادغام به\"" انبار را جایگزین خواهد شد. پس از ادغام می توانید این انبار سطح سهام برای این انبار خواهد شد صفر حذف کنید.
This feature is only applicable to self hosted instances,این ویژگی فقط برای نمونه میزبانی خود قابل استفاده است
This field will appear only if the fieldname defined here has value OR the rules are true (examples): <br>myfieldeval:doc.myfield=='My Value'<br>eval:doc.age>18,این زمینه می شوند تنها در صورتی آفست در اینجا تعریف ارزش است یا قوانین درست هستند (نمونه): <br>myfieldeval:doc.myfield=='My Value'<br>eval:doc.age>18
This goes above the slideshow.,این رود بالا نمایش پرده ای.
This is PERMANENT action and you cannot undo. Continue?,این عمل دائمی است و نمی توانید لغو. ادامه می دهید؟
This is an auto generated Material Request.,این خودرو تولید شده است درخواست مواد.
This is permanent action and you cannot undo. Continue?,این عمل دائمی است و نمی توانید لغو. ادامه می دهید؟
This is the number of the last created transaction with this prefix,این تعداد آخرین معامله ایجاد شده با این پیشوند است
This message goes away after you create your first customer.,پس از ایجاد اولین مشتری این پیام دور می رود.
This tool helps you to update or fix the quantity and valuation of stock in the system. It is typically used to synchronise the system values and what actually exists in your warehouses.,این ابزار به روز رسانی و یا تعمیر مقدار و ارزش گذاری سهام در سیستم شما کمک می کند. به طور معمول استفاده می شود برای همگام سازی سیستم ارزش ها و چه در حقیقت در انبارهای خود وجود دارد.
This will be used for setting rule in HR module,این تنظیم قانون در ماژول ساعت استفاده خواهد شد
Thread HTML,موضوع HTML
Thursday,پنج شنبه
Time,زمان
Time Log,زمان ورود به سیستم
Time Log Batch,زمان ورود دسته
Time Log Batch Detail,زمان ورود به سیستم دسته ای جزئیات
Time Log Batch Details,زمان ورود به سیستم دسته ای جزئیات
Time Log Batch status must be 'Submitted',زمان ورود به سیستم دسته ای وضعیت \""بایستی\""
Time Log Status must be Submitted.,زمان ورود وضعیت باید مشاهده کنید.
Time Log for tasks.,زمان ورود به سیستم برای انجام وظایف.
Time Log is not billable,زمان ورود به سیستم billable است
Time Log must have status 'Submitted',زمان ورود وضعیت باید 'Submitted'
Time Zone,منطقه زمانی
Time Zones,منطقه زمانی
Time and Budget,زمان و بودجه
Time at which items were delivered from warehouse,زمان در آن موارد از انبار تحویل داده شد
Time at which materials were received,زمانی که در آن مواد دریافت شد
Title,عنوان
Title / headline of your page,عنوان \/ تیتر صفحه
Title Case,حالت حروف عنوان
Title Prefix,پیشوند عنوان
To,به
To Currency,به ارز
To Date,تا به امروز
To Discuss,برای بحث در مورد
To Do,برای انجام
To Do List,به لیست
To Package No.,به شماره بسته
To Pay,پرداخت
To Reply,پاسخ
To Time,به زمان
To Value,به ارزش
To Warehouse,انبار
"To add a tag, open the document and click on ""Add Tag"" on the sidebar",برای افزودن برچسب سند را باز کرده و بر روی \""اضافه کردن برچسب\"" در نوار کناری
"To assign this issue, use the ""Assign"" button in the sidebar.",به این موضوع اختصاص می دهید، دکمه \""اختصاص\"" در نوار جانبی استفاده کنید.
"To automatically create Support Tickets from your incoming mail, set your POP3 settings here. You must ideally create a separate email id for the erp system so that all emails will be synced into the system from that mail id. If you are not sure, please contact your EMail Provider.",برای ایجاد خودکار درخواستهای پشتیبانی از ایمیل های دریافتی خود تنظیمات POP3 خود را تنظیم کنید. طوری که همه ایمیل خواهد شد به سیستم از شناسه پست الکترونیکی که همگام سازی شما ایده آل باید یک شناسه ایمیل جداگانه برای سیستم erp را ایجاد کنید. اگر شما مطمئن نیستید، لطفا ارائه دهنده ایمیل خود تماس بگیرید.
"To create / edit transactions against this account, you need role",برای ایجاد \/ ویرایش معاملات با این حساب، شما نیاز به نقش
"To create an Account Head under a different company, select the company and save customer.",برای ایجاد حساب سر در شرکت های مختلف شرکت را انتخاب کنید و ذخیره کنید مشتری.
To enable <b>Point of Sale</b> features,برای فعال کردن ویژگی های <b>نقطه فروش<\/b>
To enable <b>Point of Sale</b> view,برای فعال کردن نمای <b>نقطه فروش<\/b>
To enable more currencies go to Setup > Currency,برای فعال کردن پول بیشتر به راه اندازی > نرخ ارز
"To fetch items again, click on 'Get Items' button \						or update the Quantity manually.",برای واکشی موارد دوباره، کلیک بر روی دکمه \""موارد دریافت\"" \\ یا به روز رسانی مقدار دستی.
"To format columns, give column labels in the query.",برای شکلبندی ستون برچسبهای ستون را در پرس و جو.
"To further restrict permissions based on certain values in a document, use the 'Condition' settings.",برای بیشتر محدود کردن مجوز بر اساس ارزش خاصی در یک سند، تنظیمات 'شرط' استفاده کنید.
To get Item Group in details table,به گروه مورد در جدول جزئیات
To manage multiple series please go to Setup > Manage Series,برای مدیریت چندین سری به راه اندازی مراجعه > مدیریت سری
To restrict a User of a particular Role to documents that are explicitly assigned to them,برای محدود کردن کاربر از نقش ويژه به اسناد که به صراحت به آنها اختصاص داده شده
To restrict a User of a particular Role to documents that are only self-created.,برای محدود کردن کاربر از نقش ويژه به اسنادی که تنها خود ایجاد می شوند.
"To set reorder level, item must be Purchase Item",برای تنظیم مجوزها، دوباره مرتب کردن سطح مورد باید مورد خرید
"To set user roles, just go to <a href='#List/Profile'>Setup > Users</a> and click on the user to assign roles.",به نقش های کاربر را تعیین می کنند، فقط رفتن به <a href='#List\/Profile'> راه اندازی > کاربران<\/a> و برای اختصاص نقش های کاربر را کلیک کنید.
To track any installation or commissioning related work after sales,برای پیگیری هر گونه نصب یا کار مرتبط راه اندازي خدمات پس از فروش
"To track brand name in the following documents<br>Delivery Note, Enuiry, Material Request, Item, Purchase Order, Purchase Voucher, Purchaser Receipt, Quotation, Sales Invoice, Sales BOM, Sales Order, Serial No",برای پیگیری نام تجاری در مدارک زیر <br>یادداشت تحویل، Enuiry، مواد درخواست مورد سفارش خرید کوپن خرید دریافت خریدار، نقل قول، فاکتور فروش فروش BOM سفارش فروش، شماره سریال
To track item in sales and purchase documents based on their serial nos. This is can also used to track warranty details of the product.,برای پیگیری در مورد فروش و خرید اسناد بر خود (nos) سریال. این نیز استفاده می شود برای ردیابی اطلاعات گارانتی محصول می باشد.
